millis,CO2,TVOC,temperature,pressure,altitude,lat,lon,latMod,lonMod
1248393,967,86,15.9,101787,-38.14,45.47569844,-122.7568174,698.4441033,681.7396845
1249398,1207,122,16,101786,-38.14,45.47567879,-122.7568322,678.7885404,683.2232813
1250399,1295,136,16,101782,-38.56,45.47567879,-122.7568322,678.7885404,683.2232813
1251400,1140,112,16,101781,-38.23,45.47567879,-122.7568322,678.7885404,683.2232813
1252397,967,86,16,101787,-38.65,45.47567879,-122.7568322,678.7885404,683.2232813
1253397,851,68,16,101781,-37.73,45.47567879,-122.7568322,678.7885404,683.2232813
1254398,785,58,16,101779,-37.07,45.47565741,-122.7568224,657.4146873,682.2425986
1255399,714,47,16,101778,-37.98,45.47565741,-122.7568224,657.4146873,682.2425986
1256400,674,41,15.9,101781,-38.23,45.47565741,-122.7568224,657.4146873,682.2425986
1257402,657,39,15.9,101786,-38.4,45.47565741,-122.7568224,657.4146873,682.2425986
1258403,626,34,15.9,101787,-38.48,45.47565741,-122.7568224,657.4146873,682.2425986
1259406,614,32,15.9,101792,-38.14,45.47565741,-122.7568224,657.4146873,682.2425986
1260405,586,28,15.8,101789,-38.14,45.47565741,-122.7568224,657.4146873,682.2425986
1261408,577,26,15.8,101788,-38.06,45.47565741,-122.7568224,657.4146873,682.2425986
1262407,567,25,15.7,101772,-37.4,45.47565741,-122.7568224,657.4146873,682.2425986
1263409,552,23,15.7,101782,-38.65,45.47565741,-122.7568224,657.4146873,682.2425986
1264409,552,23,15.7,101787,-38.31,45.47565741,-122.7568224,657.4146873,682.2425986
1265411,534,20,15.6,101777,-37.82,45.47565741,-122.7568224,657.4146873,682.2425986
1266412,540,21,15.6,101785,-38.4,45.47565741,-122.7568224,657.4146873,682.2425986
1267412,545,22,15.6,101780,-38.48,45.47565741,-122.7568224,657.4146873,682.2425986
1268413,545,22,15.6,101784,-38.23,45.47565741,-122.7568224,657.4146873,682.2425986
1269414,545,22,15.5,101778,-38.4,45.47565741,-122.7568224,657.4146873,682.2425986
1270415,540,21,15.5,101789,-38.14,45.47565741,-122.7568224,657.4146873,682.2425986
1271416,540,21,15.5,101781,-38.23,45.47565741,-122.7568224,657.4146873,682.2425986
1272418,527,19,15.5,101779,-38.23,45.47565741,-122.7568224,657.4146873,682.2425986
1273419,518,17,15.4,101777,-38.06,45.47565741,-122.7568224,657.4146873,682.2425986
1274420,508,16,15.4,101785,-37.73,45.47565741,-122.7568224,657.4146873,682.2425986
